Id_centror;Tipo;Direccion;telefono;Id_mpio;name
100060;Convencionales;Calle 16 No.13-39;735 8893;5059;ARMENIA
100061;Terminal_Carga;Calle 30 No.4-137;363 8000;8001;BARRANQUILLA
100062;Terminal_Carga;Aut. Bucaramanga Girón Km 7 No. 16-10;646 1480;68001;BUCARAMANGA
100063;Convencionales;Cra. 5 # 1-30 lOCAL 105 – Ed. Almirante;240 4420;76109;BUENAVENTURA
100064;Terminal_Carga;Cra. 36 No. 13-290 Urbanización Acopi Yumbo;690 2121;76001;CALI
100065;Terminal_Carga; Centro Industrial y de Almacenamiento Ternera Km 1 vía Turbaco Bodega 1;693 07 08 -661 97 98;13001;CARTAGENA
100066;Convencionales;Calle 11 No. 0-42 Local 2 Centro;572 0849;54001;CUCUTA
100067;Terminal_Carga;Calle 20 No. 12 Sur – 29;260 0382;73001;IBAGUE
100068;Convencionales;Carrera 11 No. 15-42;773 60 38;52356;IPIALES
100069;Terminal_Carga;Estación Uribe – Bodega 3;889 9340;17001;MANIZALES
100070;Terminal_Carga;Calle 30 A No.53-16;350 0040;5001;MEDELLIN
100071;Convencionales;Av. Ferrocarril: Cra. 57 No.49-91;231 4053;5001;MEDELLIN
100072;Convencionales;Calle 34 # 4 – 40;781 1133;23001;MONTERIA
100073;Terminal_Carga;Calle 21 A No.1 A -37 Barrio Pucalpa I;730 7600;52001;PASTO
100074;Terminal_Carga;Cra. 14 No.83-177 Vía Villa Olímpica;333 5895;66001;PEREIRA
100075;Convencionales;Cra. 6 No.7- 83;822 1055 – 836 8352;19001;POPAYAN
100076;Convencionales;Calle 10c No. 4 – 69;421 6969;47001;SANTA MARTA
100077;Convencionales;Calle 20 No.21-12;421 6969;70001;SINCELEJO
100078;Terminal_Carga;Calle 38 No.35-141;280 1477;70001;SINCELEJO
100079;Convencionales;Calle 17 N 11 – 130;580 7070;20001;VALLEDUPAR
